"SEX"	"mage"	"grp"	"firstmar"	"pct"
1	9	"REP"	1	0.0300
1	9	"MAL"	1	0.0100
1	9	"FO"	1	0.0700
1	9	"EMP"	1	0.0300
1	9	"UNEMP"	1	0.0000
1	9	"NILF"	1	0.0000
1	9	"MS"	1	0.0200
1	9	"HS"	1	0.0300
1	9	"DIPL"	1	0.0000
1	9	"DIPM"	1	0.0200
1	9	"BS"	1	0.0000
1	9	"ADV"	1	0.0000
1	9	"NC"	1	0.0300
1	9	"MALE"	1	0.0300
1	9	"AD"	1	0.0200
1	9	"DIPM"	1	0.0400
1	10	"REP"	1	0.0800
1	10	"MAL"	1	0.0400
1	10	"FO"	1	0.2100
1	10	"EMP"	1	0.0800
1	10	"UNEMP"	1	0.0000
1	10	"NILF"	1	0.1000
1	10	"MS"	1	0.0200
1	10	"HS"	1	0.0000
1	10	"DIPL"	1	0.0400
1	10	"DIPM"	1	0.0200
1	10	"BS"	1	0.1400
1	10	"ADV"	1	0.0000
1	10	"NC"	1	0.1000
1	10	"MALE"	1	0.1100
1	10	"AD"	1	0.0500
1	10	"DIPM"	1	0.1000
1	11	"REP"	1	0.0400
1	11	"MAL"	1	0.0200
1	11	"FO"	1	0.1000
1	11	"EMP"	1	0.0400
1	11	"UNEMP"	1	0.0000
1	11	"NILF"	1	0.0400
1	11	"MS"	1	0.0400
1	11	"HS"	1	0.0000
1	11	"DIPL"	1	0.0000
1	11	"DIPM"	1	0.0400
1	11	"BS"	1	0.0000
1	11	"ADV"	1	0.0000
1	11	"NC"	1	0.0500
1	11	"MALE"	1	0.0400
1	11	"AD"	1	0.0300
1	11	"DIPM"	1	0.0700
1	12	"REP"	1	0.1400
1	12	"MAL"	1	0.0800
1	12	"FO"	1	0.3200
1	12	"EMP"	1	0.1400
1	12	"UNEMP"	1	0.0000
1	12	"NILF"	1	0.2300
1	12	"MS"	1	0.0300
1	12	"HS"	1	0.0900
1	12	"DIPL"	1	0.0400
1	12	"DIPM"	1	0.0000
1	12	"BS"	1	0.0000
1	12	"ADV"	1	0.0000
1	12	"NC"	1	0.1800
1	12	"MALE"	1	0.1300
1	12	"AD"	1	0.1500
1	12	"DIPM"	1	0.1500
1	13	"REP"	1	0.1900
1	13	"MAL"	1	0.1700
1	13	"FO"	1	0.2700
1	13	"EMP"	1	0.1600
1	13	"UNEMP"	1	0.1800
1	13	"NILF"	1	0.5400
1	13	"MS"	1	0.0300
1	13	"HS"	1	0.1200
1	13	"DIPL"	1	0.0800
1	13	"DIPM"	1	0.0100
1	13	"BS"	1	0.0000
1	13	"ADV"	1	0.0000
1	13	"NC"	1	0.2700
1	13	"MALE"	1	0.1400
1	13	"AD"	1	0.2400
1	13	"DIPM"	1	0.1900
1	14	"REP"	1	0.5400
1	14	"MAL"	1	0.4900
1	14	"FO"	1	0.6800
1	14	"EMP"	1	0.4400
1	14	"UNEMP"	1	0.3000
1	14	"NILF"	1	1.5900
1	14	"MS"	1	0.0900
1	14	"HS"	1	0.1200
1	14	"DIPL"	1	0.1900
1	14	"DIPM"	1	0.0800
1	14	"BS"	1	0.1400
1	14	"ADV"	1	0.0000
1	14	"NC"	1	0.7200
1	14	"MALE"	1	0.4500
1	14	"AD"	1	0.6800
1	14	"DIPM"	1	0.3800
1	15	"REP"	1	1.4800
1	15	"MAL"	1	1.6600
1	15	"FO"	1	1.0400
1	15	"EMP"	1	1.0600
1	15	"UNEMP"	1	0.7900
1	15	"NILF"	1	5.6900
1	15	"MS"	1	0.1100
1	15	"HS"	1	0.0900
1	15	"DIPL"	1	0.6300
1	15	"DIPM"	1	0.2900
1	15	"BS"	1	0.0000
1	15	"ADV"	1	0.1900
1	15	"NC"	1	2.1300
1	15	"MALE"	1	0.9200
1	15	"AD"	1	2.2500
1	15	"DIPM"	1	0.7600
1	16	"REP"	1	1.8400
1	16	"MAL"	1	2.0900
1	16	"FO"	1	1.1700
1	16	"EMP"	1	1.5100
1	16	"UNEMP"	1	1.2700
1	16	"NILF"	1	5.0600
1	16	"MS"	1	0.1900
1	16	"HS"	1	0.3700
1	16	"DIPL"	1	0.9000
1	16	"DIPM"	1	0.6000
1	16	"BS"	1	0.3500
1	16	"ADV"	1	0.0900
1	16	"NC"	1	2.6800
1	16	"MALE"	1	1.2100
1	16	"AD"	1	2.7400
1	16	"DIPM"	1	0.9300
1	17	"REP"	1	2.3700
1	17	"MAL"	1	2.6900
1	17	"FO"	1	1.5400
1	17	"EMP"	1	2.0500
1	17	"UNEMP"	1	2.5500
1	17	"NILF"	1	5.4800
1	17	"MS"	1	0.2800
1	17	"HS"	1	0.4300
1	17	"DIPL"	1	1.3000
1	17	"DIPM"	1	0.8600
1	17	"BS"	1	0.1400
1	17	"ADV"	1	0.1900
1	17	"NC"	1	3.5100
1	17	"MALE"	1	1.7000
1	17	"AD"	1	3.3700
1	17	"DIPM"	1	1.3100
1	18	"REP"	1	5.6500
1	18	"MAL"	1	5.9500
1	18	"FO"	1	4.8700
1	18	"EMP"	1	5.1400
1	18	"UNEMP"	1	6.6700
1	18	"NILF"	1	10.4400
1	18	"MS"	1	1.3800
1	18	"HS"	1	0.8200
1	18	"DIPL"	1	4.0000
1	18	"DIPM"	1	2.6600
1	18	"BS"	1	0.5700
1	18	"ADV"	1	0.2800
1	18	"NC"	1	8.0900
1	18	"MALE"	1	4.6100
1	18	"AD"	1	7.4700
1	18	"DIPM"	1	3.3500
1	19	"REP"	1	5.2700
1	19	"MAL"	1	6.1500
1	19	"FO"	1	3.0000
1	19	"EMP"	1	5.1000
1	19	"UNEMP"	1	6.7400
1	19	"NILF"	1	6.7500
1	19	"MS"	1	2.9500
1	19	"HS"	1	1.9200
1	19	"DIPL"	1	5.7300
1	19	"DIPM"	1	3.3400
1	19	"BS"	1	0.7100
1	19	"ADV"	1	0.3800
1	19	"NC"	1	6.9600
1	19	"MALE"	1	4.6000
1	19	"AD"	1	6.5100
1	19	"DIPM"	1	3.6300
1	20	"REP"	1	9.5200
1	20	"MAL"	1	9.4100
1	20	"FO"	1	9.7800
1	20	"EMP"	1	9.1600
1	20	"UNEMP"	1	10.1300
1	20	"NILF"	1	12.9000
1	20	"MS"	1	6.2200
1	20	"HS"	1	4.9300
1	20	"DIPL"	1	8.0500
1	20	"DIPM"	1	5.0800
1	20	"BS"	1	1.2700
1	20	"ADV"	1	0.9400
1	20	"NC"	1	11.6500
1	20	"MALE"	1	7.9700
1	20	"AD"	1	11.2400
